rank,name,url,gold_value,grand_total,value_ratio,error,gross_weight,metal_weight,stone_weight,length,width,thickness,rate,making_charges,gst,discount,subtotal,product_total
1,Premium Gorgeously Detailed And Studded 22KT Gold Ring For Men,https://www.bhimagold.com/products/premium-gorgeously-detailed-and-studded-22kt-gold-ring-for-men-ngo-rgrg-cspm-s-g-p-23775960,69690.0,75750.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
2,Traditionally Crafted And Matte Finished 22KT Gold Haaram For Women,https://www.bhimagold.com/products/traditionally-crafted-and-matte-finished-22kt-gold-haaram-for-women-ngo-chfc-bil-p-l-p-23784625,322031.28,350034.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
3,Ruby And Emerald Studded 22KT Gold Necklace,https://www.bhimagold.com/products/ruby-and-emerald-studded-22kt-gold-necklace-ngo-chns-cod-s-l-p-23805069,509046.12,553311.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
4,Studded And Detailed 22KT Gold Ring For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-ring-ngo-bsrg-s-61229,174919.6,190130.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
5,Fancy Finely Detailed And Crafted 18KT Rose Gold Studs,https://www.bhimagold.com/products/fancy-finely-detailed-and-crafted-18kt-rose-gold-studs-ng18-stet18k-fc-p-l-rg-23860153,62998.84,68477.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
6,Glamorously Detailed And Studded 18KT Rose Gold Necklace,https://www.bhimagold.com/products/glamorously-detailed-and-studded-18kt-rose-gold-necklace-ng18-chnc18k-cs-s-l-p-23867709,196464.16,213548.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
7,Antique Finished And Detailed 22KT Gold Necklace,https://www.bhimagold.com/products/antique-finished-and-detailed-22kt-gold-necklace-ngo-chfc-ops-s-l-ox-2412030,664106.6,721855.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
8,Antique Finished And Studded 18KT Yellow Gold Fancy Chain,https://www.bhimagold.com/products/antique-finished-and-studded-18kt-yellow-gold-fancy-chain-ng18-chfc18k-fc-s-l-ox-24312344,652479.64,709217.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
9,Antique Finished And Studded 18KT Yellow Gold Drops,https://www.bhimagold.com/products/antique-finished-and-studded-18kt-yellow-gold-drops-ng18-stdr18k-fc-s-l-ox-24312407,310938.84,337977.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
10,Antique Finished And Studded 18KT Rose Gold Fancy Chain,https://www.bhimagold.com/products/antique-finished-and-studded-18kt-rose-gold-fancy-chain-ng18-chfc18k-fc-s-l-ox-24312423,762691.96,829013.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
11,Ruby Studded And Detailed 22KT Gold Haaram,https://www.bhimagold.com/products/ruby-studded-and-detailed-22kt-gold-haaram-ngo-chfs-rud-s-l-na-25856158,813708.72,884466.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
12,Emerald Studded And Detailed 22KT Gold Haaram,https://www.bhimagold.com/products/emerald-studded-and-detailed-22kt-gold-haaram-ngo-chfs-emd-s-l-na-25856126,802559.24,872347.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
13,Studded And Detailed 22KT Gold Bangles For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-bangles-for-women-ngo-bgsb-cod-s-l-na-26123063,281016.76,305453.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
14,Traditionally Crafted And Detailed 22KT Gold Cats Eye Stone Locket,https://www.bhimagold.com/products/traditionally-crafted-and-detailed-22kt-gold-cats-eye-stone-locket-ngo-bslc-brs-s-l-p-24338919,98992.0,107600.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
15,Traditionally Crafted And Ruby Studded 22KT Gold Necklace,https://www.bhimagold.com/products/traditionally-crafted-and-ruby-studded-22kt-gold-necklace-ngo-chfs-rud-s-l-na-25856239,924741.68,1005154.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
16,Traditionally Crafted And Pearl Studded 22KT Gold Ring ,https://www.bhimagold.com/products/traditionally-crafted-and-pearl-studded-22kt-gold-ring-ngo-bsrg-brs-s-l-p-24339105,62226.96,67638.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
17,Classic Finely Detailed And Crafted 22KT Gold Ring For Men,https://www.bhimagold.com/products/classic-finely-detailed-and-crafted-22kt-gold-ring-for-men-ngo-bsrg-brs-s-g-p-25738701,183376.24,199322.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
18,Traditionally Crafted And White Coral Studded 22KT Gold Ring,https://www.bhimagold.com/products/traditionally-crafted-and-white-coral-studded-22kt-gold-ring-ngo-bsrg-brs-s-g-p-24339187,124615.84,135452.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
19,Studded And Detailed 22KT Gold Bangles For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-bangles-for-women-ngo-bgsb-cod-s-l-na-25894466,354813.64,385667.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
20,Classic Antique Finished And Studded 22KT Gold Necklace,https://www.bhimagold.com/products/classic-antique-finished-and-studded-22kt-gold-necklace-ngo-chnc-pcw-s-l-p-24341113,587238.76,638303.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
21,Antique Finished And Studded 22KT Gold Necklace,https://www.bhimagold.com/products/antique-finished-and-studded-22kt-gold-necklace-ngo-chnc-pcw-s-l-p-24341284,602780.32,655196.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
22,Finely Detailed And Crafted 22KT Gold Ruby Necklace,https://www.bhimagold.com/products/finely-detailed-and-crafted-22kt-gold-ruby-necklace-ngo-chns-rud-s-l-na-25738531,398829.2,433510.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
23,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-cod-s-l-na-26122111,558899.08,607499.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
24,Finely Detailed 22KT Gold Lakshmi Venkateshwara Necklace For Women,https://www.bhimagold.com/products/finely-detailed-22kt-gold-necklace-ngo-chfc-btc-s-l-ox-25759806,1419878.32,1543346.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
25,Studded And Detailed 22KT Gold Locket For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-locket-for-women-ngo-chlc-rud-s-l-na-2699575,141870.44,154207.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
26,Studded And Detailed 22KT Gold Locket For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-locket-for-women-ngo-chlc-emd-s-l-p-25855217,194013.28,210884.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
27,Studded And Detailed 22KT Gold Necklace For Women,https://www.bhimagold.com/products/studded-and-detailed-22kt-gold-necklace-for-women-ngo-chns-cod-s-l-na-26122086,342005.4,371745.0,0.92,Cloudflare 403 - API fallback (gold est),,,,,,,,,,,,
